128.14.134.170 - - [08/Feb/2020:00:49:13 +0000] "GET / HTTP/1.1" 200 11215
44.224.22.196 - - [08/Feb/2020:01:47:12 +0000] "GET / HTTP/1.1" 200 11215
44.224.22.196 - - [08/Feb/2020:01:47:12 +0000] "GET / HTTP/1.1" 200 11215
44.224.22.196 - - [08/Feb/2020:01:47:12 +0000] "GET / HTTP/1.1" 200 11215
44.224.22.196 - - [08/Feb/2020:01:47:12 +0000] "GET /latest/dynamic/instance-identity/document HTTP/1.1" 404 762
44.224.22.196 - - [08/Feb/2020:01:47:12 +0000] "GET /latest/dynamic/instance-identity/document HTTP/1.1" 404 762
44.224.22.196 - - [08/Feb/2020:01:47:12 +0000] "GET / HTTP/1.1" 200 11215
44.224.22.196 - - [08/Feb/2020:01:47:12 +0000] "GET / HTTP/1.1" 200 11215
44.224.22.196 - - [08/Feb/2020:01:47:13 +0000] "GET / HTTP/1.1" 200 11215
44.224.22.196 - - [08/Feb/2020:01:47:13 +0000] "GET /latest/dynamic/instance-identity/document HTTP/1.1" 404 762
44.224.22.196 - - [08/Feb/2020:01:47:13 +0000] "GET /latest/dynamic/instance-identity/document HTTP/1.1" 404 762
44.224.22.196 - - [08/Feb/2020:01:47:13 +0000] "CONNECT 34.201.107.82:8080 HTTP/1.0" 400 795
44.224.22.196 - - [08/Feb/2020:01:47:13 +0000] "CONNECT 34.201.107.82:8080 HTTP/1.0" 400 795
44.224.22.196 - - [08/Feb/2020:01:47:14 +0000] "CONNECT 34.201.107.82:8080 HTTP/1.0" 400 795
44.224.22.196 - - [08/Feb/2020:01:47:14 +0000] "CONNECT 34.201.107.82:8080 HTTP/1.0" 400 795
44.224.22.196 - - [08/Feb/2020:01:47:14 +0000] "CONNECT 34.201.107.82:8080 HTTP/1.0" 400 795
44.224.22.196 - - [08/Feb/2020:01:47:14 +0000] "-" 400 1879
44.224.22.196 - - [08/Feb/2020:01:47:14 +0000] "-" 400 1879
44.224.22.196 - - [08/Feb/2020:01:47:15 +0000] "-" 400 1879
44.224.22.196 - - [08/Feb/2020:01:47:15 +0000] "-" 400 1879
44.224.22.196 - - [08/Feb/2020:01:47:15 +0000] "-" 400 1879
201.53.225.224 - - [08/Feb/2020:03:23:50 +0000] "GET / HTTP/1.1" 400 762
124.248.166.84 - - [08/Feb/2020:03:41:26 +0000] "GET / HTTP/1.1" 200 11215
84.79.73.197 - - [08/Feb/2020:04:05:12 +0000] "GET /admin-scripts.asp HTTP/1.1" 404 726
84.79.73.197 - - [08/Feb/2020:04:05:13 +0000] "GET /admin-scripts.asp HTTP/1.1" 404 726
197.232.1.182 - - [08/Feb/2020:06:42:03 +0000] "GET /manager/html HTTP/1.1" 401 2499
116.114.95.222 - - [08/Feb/2020:07:52:04 +0000] "POST /GponForm/diag_Form?images/ HTTP/1.1" 404 731
116.114.95.222 - - [08/Feb/2020:07:52:04 +0000] "-" 400 1879
60.191.66.222 - - [08/Feb/2020:08:10:33 +0000] "GET /manager/html HTTP/1.1" 401 2499
45.136.108.64 - - [08/Feb/2020:08:12:06 +0000] "-" 400 1879
106.45.0.41 - - [08/Feb/2020:08:30:57 +0000] "HEAD / HTTP/1.1" 200 -
222.94.140.161 - - [08/Feb/2020:08:31:03 +0000] "GET / HTTP/1.1" 200 11215
112.230.41.225 - - [08/Feb/2020:08:31:03 +0000] "CONNECT www.voanews.com:443 HTTP/1.1" 400 795
113.58.232.167 - - [08/Feb/2020:08:31:05 +0000] "CONNECT cn.bing.com:443 HTTP/1.1" 400 795
113.206.180.239 - - [08/Feb/2020:08:31:05 +0000] "GET /english/ HTTP/1.1" 404 691
150.255.0.129 - - [08/Feb/2020:08:31:06 +0000] "GET / HTTP/1.1" 200 6
116.252.0.177 - - [08/Feb/2020:08:31:09 +0000] "CONNECT www.ipip.net:443 HTTP/1.1" 400 795
36.251.112.189 - - [08/Feb/2020:08:31:09 +0000] "GET / HTTP/1.1" 200 11215
171.12.10.195 - - [08/Feb/2020:08:31:11 +0000] "GET / HTTP/1.1" 200 6
106.57.230.128 - - [08/Feb/2020:08:31:13 +0000] "CONNECT www.baidu.com:443 HTTP/1.1" 400 795
119.39.47.17 - - [08/Feb/2020:08:31:13 +0000] "GET / HTTP/1.1" 200 6
1.53.176.209 - - [08/Feb/2020:11:53:15 +0000] "GET / HTTP/1.1" 400 762
44.224.22.196 - - [08/Feb/2020:12:45:38 +0000] "GET / HTTP/1.1" 200 11215
44.224.22.196 - - [08/Feb/2020:12:45:38 +0000] "GET / HTTP/1.1" 200 11215
44.224.22.196 - - [08/Feb/2020:12:45:39 +0000] "GET / HTTP/1.1" 200 11215
44.224.22.196 - - [08/Feb/2020:12:45:39 +0000] "GET /latest/dynamic/instance-identity/document HTTP/1.1" 404 762
44.224.22.196 - - [08/Feb/2020:12:45:39 +0000] "GET /latest/dynamic/instance-identity/document HTTP/1.1" 404 762
44.224.22.196 - - [08/Feb/2020:12:45:39 +0000] "GET / HTTP/1.1" 200 11215
44.224.22.196 - - [08/Feb/2020:12:45:39 +0000] "GET / HTTP/1.1" 200 11215
44.224.22.196 - - [08/Feb/2020:12:45:39 +0000] "GET / HTTP/1.1" 200 11215
